shown,predicted,rate,count
N,M,0.1222,22
U,X,0.0667,12
M,N,0.0611,11
X,S,0.0556,10
S,F,0.0444,8
R,U,0.0389,7
T,F,0.0333,6
W,R,0.0278,5
M,T,0.0222,4
N,B,0.0222,4
N,T,0.0222,4
S,Y,0.0222,4
M,B,0.0167,3
N,F,0.0167,3
S,M,0.0167,3
P,Q,0.0111,2
S,P,0.0111,2
T,W,0.0111,2
U,V,0.0111,2
W,K,0.0111,2
C,F,0.0056,1
C,O,0.0056,1
E,F,0.0056,1
E,M,0.0056,1
E,Y,0.0056,1
F,O,0.0056,1
H,K,0.0056,1
H,V,0.0056,1
H,W,0.0056,1
M,I,0.0056,1
M,K,0.0056,1
N,A,0.0056,1
N,I,0.0056,1
N,W,0.0056,1
R,G,0.0056,1
R,K,0.0056,1
R,V,0.0056,1
S,N,0.0056,1
S,U,0.0056,1
T,N,0.0056,1
V,R,0.0056,1
