split,representation,n_per_class,n_train,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,train_seconds_min,train_seconds_median,train_seconds_mean,seeds
temporal,,5,120,0.8522222222222222,0.022302420870398458,0.8229166666666666,0.8865740740740741,0.0026627000042935833,0.002796100001432933,0.0038820800022222103,5
temporal,,10,240,0.9113888888888889,0.0092816858036687,0.899074074074074,0.9277777777777778,0.004013699988718145,0.004073899996001273,0.004682719998527318,5
temporal,,20,480,0.9336574074074073,0.0039408999898204716,0.9268518518518518,0.937962962962963,0.007039199990686029,0.0077631000021938235,0.007708079999429174,5
temporal,,40,960,0.9431018518518519,0.005230457126851321,0.9384259259259259,0.9527777777777777,0.015048299988848157,0.01628659998823423,0.020976219995645806,5
temporal,,60,1440,0.949861111111111,0.007843909767390056,0.9388888888888889,0.961574074074074,0.02332189999287948,0.02363970001169946,0.024381160002667455,5
temporal,,120,2880,0.9606018518518518,0.0036436096981390794,0.9543981481481482,0.9643518518518519,0.051168000005418435,0.05494859999453183,0.05525870000128634,5
temporal,,300,7200,0.9668055555555555,0.0019289506162962853,0.9629629629629629,0.9680555555555556,0.1613089000020409,0.16722390000359155,0.1777380200015614,5
random,,5,120,0.8994444444444444,0.016755550029471555,0.8805555555555555,0.9256944444444445,0.0028784999885829166,0.0035594999935710803,0.0043155599967576565,5
random,,10,240,0.9374537037037036,0.003643609698139057,0.9326388888888889,0.9425925925925925,0.004505199991399422,0.0052967999945394695,0.0065950399963185195,5
random,,20,480,0.9603703703703704,0.004162549406109084,0.9548611111111112,0.9664351851851852,0.007331199987675063,0.009299800003645942,0.012486599999829196,5
random,,40,960,0.9753240740740742,0.003066059386999739,0.9717592592592592,0.9807870370370371,0.01584819999698084,0.02175369999895338,0.025833239997155033,5
random,,60,1440,0.9805555555555555,0.0015562718809233106,0.9784722222222222,0.9828703703703704,0.02575559999968391,0.028018199998768978,0.036634519998915496,5
random,,120,2880,0.9878240740740741,0.0013780440801978936,0.9861111111111112,0.9895833333333334,0.05883049999829382,0.07056700000248384,0.08213917999819387,5
random,,300,7200,0.9935648148148148,0.0007938161203464027,0.9923611111111111,0.9944444444444445,0.17296300000452902,0.2281864999968093,0.25685450000164567,5
temporal,absolute,5,120,0.4010648148148149,0.046919554728409446,0.33935185185185185,0.4724537037037037,0.0030574000120395795,0.003671300000860356,0.00463809999928344,5
temporal,absolute,10,240,0.5558796296296296,0.014085491226795631,0.5296296296296297,0.5668981481481481,0.006574200000613928,0.008369899995159358,0.008092719994601793,5
temporal,absolute,20,480,0.6893055555555556,0.010475042191624978,0.6743055555555556,0.7025462962962963,0.016354699997464195,0.02494190000288654,0.02701884000271093,5
temporal,absolute,40,960,0.7756481481481481,0.015644038469760525,0.7453703703703703,0.7900462962962963,0.03370349999750033,0.037041000003227964,0.03804088000324555,5
temporal,absolute,60,1440,0.792638888888889,0.010767646695704295,0.7736111111111111,0.8043981481481481,0.05678250000346452,0.06688410000060685,0.06481009999697562,5
temporal,absolute,120,2880,0.8340740740740742,0.005981725141236004,0.825925925925926,0.8435185185185186,0.14012999999977183,0.14386509999167174,0.163125279993983,5
temporal,absolute,300,7200,0.8606018518518518,0.0034221701134400733,0.8560185185185185,0.8652777777777778,0.4547861000028206,0.5017353000002913,0.5179867600032594,5
temporal,wrist-relative,5,120,0.6621759259259259,0.027124888980321903,0.6293981481481481,0.7041666666666667,0.0027154000126756728,0.004256899992469698,0.004257300004246645,5
temporal,wrist-relative,10,240,0.8054166666666666,0.02846021276382898,0.7645833333333333,0.8425925925925926,0.004543599992757663,0.006793499997002073,0.007775679999031127,5
temporal,wrist-relative,20,480,0.8551851851851853,0.007775297223488011,0.8423611111111111,0.8652777777777778,0.009753999998793006,0.010749399996711873,0.010846220003440977,5
temporal,wrist-relative,40,960,0.8851388888888888,0.010697750811641838,0.8733796296296297,0.9018518518518519,0.01778520000516437,0.018529400011175312,0.019161700003314762,5
temporal,wrist-relative,60,1440,0.894351851851852,0.003599816143758086,0.888425925925926,0.899074074074074,0.02936470000713598,0.030216900006053038,0.03435348000202794,5
temporal,wrist-relative,120,2880,0.9199537037037036,0.006244682237025874,0.9108796296296297,0.9282407407407407,0.06576149999455083,0.06930810000631027,0.07858050000213553,5
temporal,wrist-relative,300,7200,0.9366203703703704,0.001971809207319139,0.9340277777777778,0.9388888888888889,0.18814329999440815,0.22824640000180807,0.2441589199966984,5
temporal,wrist+scale,5,120,0.8522222222222222,0.022302420870398458,0.8229166666666666,0.8865740740740741,0.0034075000003213063,0.006940100007341243,0.006834960004198365,5
temporal,wrist+scale,10,240,0.9113888888888889,0.0092816858036687,0.899074074074074,0.9277777777777778,0.004133099995669909,0.0049199000059161335,0.0050338800007011745,5
temporal,wrist+scale,20,480,0.9336574074074073,0.0039408999898204716,0.9268518518518518,0.937962962962963,0.007681600007344969,0.009464899994782172,0.009666239999933168,5
temporal,wrist+scale,40,960,0.9431018518518519,0.005230457126851321,0.9384259259259259,0.9527777777777777,0.015670499997213483,0.015989799998351373,0.016554859999450854,5
temporal,wrist+scale,60,1440,0.949861111111111,0.007843909767390056,0.9388888888888889,0.961574074074074,0.02500970000983216,0.025709900000947528,0.029463680007029324,5
temporal,wrist+scale,120,2880,0.9606018518518518,0.0036436096981390794,0.9543981481481482,0.9643518518518519,0.050885599994217046,0.05420179999782704,0.06084203999780584,5
temporal,wrist+scale,300,7200,0.9668055555555555,0.0019289506162962853,0.9629629629629629,0.9680555555555556,0.14536660000158008,0.20128709998971317,0.18595131999754813,5
